NewId;OldId;DE;LOD;DIST;KontenNr
aq.aq_94_110089_pas.m.de;;0;36752;19;9408531
wzg.wzg_99_27350_stg_pw5_135.m.de;;135;38703;59;9908027
wzg.wzgaqaq203-mch_a1_129.m.de;;129;36782;19;9416211
wzg.wzg_9_502250_mch_a3_35.m.de;WZG_AQ_9_502250_Mch_35;35;3588;113;918641
wzg.cluster_aq_a7_958_403_ulm_194.m.de;;194;2772;197;709829
wzg.lsa_94_109984_pas_lsa1_1.m.de;;1;36752;16;9408528
wzg.aq_96_170635_mch_c1_73.m.de;;73;37538;216;9609944
aq.aq9-180-nbg.m.de;;0;35278;208;9031376
wzg.wzg_99_25600_stg_pw2_134.m.de;;134;38702;184;9907896
wzg.aqq91_sbg_a1_1.m.de;;1;3153;216;807384
wzg.wzg_99_27500_sbg_d1_33.m.de;;33;38742;83;9918035
wzg.wzg_9_490336_mch_b2_98.m.de;WZG_AQ_9_490336_Mch_98;98;3586;44;918060
wzg.wzg8-100-mch_w10_43.m.de;AQ8O_100_Mch_43;43;3150;3;806403
wzg.wzg_96_140129_mch_dlz2_gv_50.m.de;;50;37575;35;9619235
aq.aq_b2n_008294_gap.m.de;;0;809;181;207285
wzg.wzg_99_26040_stg_wta3_3.m.de;;3;38702;217;9907929
aq.aq_9_adholl_0420_om.m.de;;0;3584;155;917659
wzg.wzg_8_11300_stg_a2_34.m.de;;34;3145;88;805208
wzg.wzg_99_7880_lin_a1_33.m.de;;33;38697;154;9906586
wzg.wzgaq13-pas_rgl_130.m.de;;130;36742;125;9406077
wzg.wzg99-063-stg_w3_36.m.de;WWQ_99063_36;36;38701;165;9907621
aq.aq_96_139409_mch.m.de;;0;37575;23;9619223
wzg.wzgaq202-mch_a2_34.m.de;;34;36782;63;9416255
wzg.wzg_b2n_006979_mch_dlz1_gv_41.m.de;;41;848;180;217268
wzg.wzg_99_11600_stg_b1_65.m.de;;65;38737;188;9916860
wzg.wzg_b2n_008757_mch_dlz2_gv_42.m.de;;42;848;208;217296
wzg.wzg99-145-sbg_w2_34.m.de;AQ99-145-Sbg_34;34;38704;155;9908379
wzg.cluster_aq_99_10380_sbg_195.m.de;;195;38698;69;9906757
wzg.cluster_aq99-840-stg_194.m.de;;194;38739;146;9917330
wzg.cluster_aq_96_153725_lin_203.m.de;;203;37576;102;9619558
wzg.cluster_aqwwq05-mch_193.m.de;WWQ94_005_Mch;193;36781;156;9416092
wzg.aqq31_sbg_a3_3.m.de;;3;3152;195;807107
wzg.wzg_b2n_006267_mch_lsa_r_169.m.de;;169;848;173;217261
wzg.cluster_aq_b2n_006763_mch_cluster_200.m.de;;200;848;180;217268
aq.aq9-695-mch.m.de;;0;35668;178;9131186
wzg.wzg_9_487755_nbg_c1_73.m.de;WZG_AQ_9_487755_Nbg_73;73;3546;163;907939
wzg.wzg_96_153558_lin_dlz3_gv_3.m.de;;3;37576;95;9619551
wzg.wzg92-050-deg_c1_73.m.de;;73;35961;88;9206104
wzg.wzg_99_31800_sbg_pw1_163.m.de;;163;38743;144;9918352
wzg.aqb28_mch_b1_97.m.de;;97;3191;220;817116
wzg.aqq35_sbg_dlzfs1_8.m.de;;8;3152;231;807143
wzg.wzg9-610-mch_p_a1_33.m.de;WZG_AQ9_610_Mch_P_33;33;35667;224;9130976
wzg.aqq33_sbg_pw1_129.m.de;;129;3152;212;807124
wzg.wzg9-155-nbg_c2_74.m.de;WZG_AQ9_155_Nbg_74;74;35279;93;9031517
wzg.wzg_96_162645_mch_pw7_7.m.de;;7;37524;186;9606330
wzg.wzg92-584-mch_w3_36.m.de;WWQ_92584_36;36;36001;188;9216444
wzg.cluster_aq_96_140129_lin_193.m.de;;193;37575;36;9619236
wzg.aqq79_sbg_a3_3.m.de;;3;3153;171;807339
wzg.wzg9-110-nbg_a2_2.m.de;WZG_AQ9_110_Nbg_2;2;35279;175;9031599
wzg.aqq245_sbg_a1_1.m.de;;1;3161;157;809373
aq.aq99-845-stg.m.de;;0;38734;132;9916036
wzg.wzg9-860-mch_w7_40.m.de;;40;35670;217;9131737
wzg.wzg92-540-mch_c2_106.m.de;;106;36002;90;9216602
wzg.wzg99-235-sbg_dlzfs1_56.m.de;;56;38706;33;9908769
wzg.aq_94_109194_mch_lsa1_33.m.de;;33;36791;14;9418510
wzg.wzg_b2n_008648_gap_dlz1_41.m.de;;41;809;189;207293
wzg.wzg_b2n_008067_gap_led1_gv_161.m.de;;161;809;181;207285
wzg.wzgaq115c-pas_b1_65.m.de;;65;36742;204;9406156
wzg.cluster_aqfsa06-pas_194.m.de;;194;36742;131;9406083
wzg.wzg9-125-nbg_w7_8.m.de;WWQ_9125_8;8;35279;158;9031582
wzg.cluster_aqq29_sbg_h_193.m.de;;193;3152;181;807093
wzg.wzg92-160-deg_a2_2.m.de;;2;35962;230;9206502
wzg.wzg_99_5430_sbg_a1_1.m.de;;1;38735;242;9916402
aq.aq_94_108999_mch.m.de;;0;36791;9;9418505
wzg.wzg99-160-sbg_w1_33.m.de;AQ99-160-Sbg_33;33;38704;249;9908473
wzg.wzg_9_511900_nbg_a3_3.m.de;WZG_AQ_9_511900_Nbg_3;3;3551;58;909114
wzg.wzg8-110-mch_w5_38.m.de;AQ8O_110_Mch_38;38;3149;234;806378
wzg.wzg_96_146848_mch_dlz1_gv_49.m.de;;49;37575;186;9619386
wzg.wzg99-635-stg_w12_13.m.de;AQ99-635-Stg_13;13;38745;213;9918933
wzg.cluster_wwq_9_483013_nbg_194.m.de;;194;3545;187;907707
